order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
CA-2021-100035,2023-02-19,2023-02-23,Same Day,CG-10551,Customer_766,Home Office,United States,Houston,Texas,West,OFF-LAB-10499,Office Supplies,Labels,Labels Model 15,21.73,6,0.2,5.48
CA-2021-100036,2023-09-22,2023-09-23,Standard Class,CG-10637,Customer_547,Consumer,United States,Chicago,Texas,East,OFF-FAS-10085,Office Supplies,Fasteners,Fasteners Model 42,783.83,7,0.0,238.52
CA-2021-100037,2023-08-04,2023-08-06,First Class,CG-10345,Customer_780,Corporate,United States,Seattle,Illinois,Central,OFF-ART-10854,Office Supplies,Art,Art Model 6,110.07,7,0.3,-8.04
CA-2021-100038,2021-04-17,2021-04-20,Standard Class,CG-10204,Customer_21,Home Office,United States,Los Angeles,California,West,OFF-LAB-10484,Office Supplies,Labels,Labels Model 43,456.2,2,0.0,115.21
CA-2021-100039,2023-08-11,2023-08-17,Second Class,CG-10167,Customer_319,Consumer,United States,Houston,New York,Central,FUR-TAB-10589,Furniture,Tables,Tables Model 44,519.92,6,0.0,85.03
CA-2021-100040,2022-02-11,2022-02-12,First Class,CG-10700,Customer_615,Consumer,United States,Houston,New York,Central,OFF-FAS-10545,Office Supplies,Fasteners,Fasteners Model 28,1188.27,4,0.0,259.42
CA-2021-100041,2021-05-22,2021-05-27,Second Class,CG-10443,Customer_371,Home Office,United States,Chicago,Arizona,West,TEC-MAC-10445,Technology,Machines,Machines Model 12,1298.61,1,0.4,381.01
CA-2021-100042,2023-09-18,2023-09-22,Standard Class,CG-10088,Customer_286,Corporate,United States,Los Angeles,Illinois,South,TEC-MAC-10344,Technology,Machines,Machines Model 2,876.79,10,0.2,-5.8
CA-2021-100043,2022-01-08,2022-01-12,First Class,CG-10569,Customer_11,Home Office,United States,Los Angeles,New York,West,OFF-ENV-10737,Office Supplies,Envelopes,Envelopes Model 27,432.12,5,0.3,-13.92
CA-2021-100044,2022-05-08,2022-05-14,Second Class,CG-10301,Customer_227,Corporate,United States,Phoenix,California,Central,OFF-SUP-10679,Office Supplies,Supplies,Supplies Model 38,957.43,8,0.5,264.02
CA-2021-100045,2023-12-24,2023-12-27,Same Day,CG-10277,Customer_314,Corporate,United States,Los Angeles,New York,West,OFF-PAP-10323,Office Supplies,Paper,Paper Model 8,856.75,9,0.3,9.5
CA-2021-100046,2022-01-28,2022-01-30,Standard Class,CG-10303,Customer_233,Corporate,United States,Los Angeles,Washington,East,TEC-ACC-10725,Technology,Accessories,Accessories Model 35,1479.82,5,0.2,574.62
CA-2021-100047,2021-04-04,2021-04-05,Second Class,CG-10587,Customer_292,Corporate,United States,Chicago,Illinois,Central,FUR-BOO-10188,Furniture,Bookcases,Bookcases Model 4,1111.18,3,0.5,-153.84
CA-2021-100048,2021-08-22,2021-08-29,Second Class,CG-10155,Customer_153,Home Office,United States,Seattle,New York,West,OFF-PAP-10121,Office Supplies,Paper,Paper Model 36,140.03,8,0.0,20.47
CA-2021-100049,2023-12-07,2023-12-11,Same Day,CG-10312,Customer_583,Home Office,United States,New York,Texas,East,OFF-BIN-10970,Office Supplies,Binders,Binders Model 49,906.52,8,0.2,286.55
CA-2021-100050,2022-06-26,2022-07-02,Standard Class,CG-10002,Customer_419,Corporate,United States,Phoenix,Texas,South,FUR-TAB-10298,Furniture,Tables,Tables Model 3,171.56,4,0.0,22.51
CA-2021-100051,2022-08-03,2022-08-09,Standard Class,CG-10435,Customer_118,Home Office,United States,Los Angeles,Arizona,West,FUR-BOO-10930,Furniture,Bookcases,Bookcases Model 18,1720.62,2,0.1,609.7
CA-2021-100052,2021-05-03,2021-05-05,Same Day,CG-10705,Customer_312,Home Office,United States,Chicago,Washington,South,FUR-CHA-10448,Furniture,Chairs,Chairs Model 6,1587.33,10,0.2,100.78
CA-2021-100053,2023-06-04,2023-06-10,Second Class,CG-10783,Customer_689,Corporate,United States,Houston,New York,West,TEC-PHO-10481,Technology,Phones,Phones Model 34,651.42,5,0.0,-94.59
CA-2021-100054,2022-07-24,2022-07-26,Same Day,CG-10356,Customer_419,Corporate,United States,Seattle,Arizona,East,TEC-COP-10878,Technology,Copiers,Copiers Model 11,1993.92,7,0.5,760.55
CA-2021-100055,2023-10-12,2023-10-15,First Class,CG-10258,Customer_332,Consumer,United States,Chicago,Texas,East,OFF-FAS-10673,Office Supplies,Fasteners,Fasteners Model 35,1328.54,7,0.0,96.84
CA-2021-100056,2021-04-22,2021-04-24,Second Class,CG-10208,Customer_274,Home Office,United States,Los Angeles,Washington,South,OFF-FAS-10901,Office Supplies,Fasteners,Fasteners Model 45,1041.69,10,0.5,182.55
CA-2021-100057,2021-03-01,2021-03-07,Second Class,CG-10565,Customer_418,Consumer,United States,Los Angeles,New York,South,OFF-STO-10969,Office Supplies,Storage,Storage Model 8,1221.65,4,0.0,-16.55
CA-2021-100058,2023-10-18,2023-10-24,Same Day,CG-10249,Customer_468,Home Office,United States,Los Angeles,Illinois,West,TEC-ACC-10943,Technology,Accessories,Accessories Model 39,590.8,5,0.4,177.73
CA-2021-100059,2021-05-23,2021-05-26,First Class,CG-10002,Customer_290,Home Office,United States,Seattle,Texas,South,TEC-ACC-10886,Technology,Accessories,Accessories Model 10,1547.62,7,0.3,557.99
CA-2021-100060,2023-09-19,2023-09-22,First Class,CG-10193,Customer_715,Consumer,United States,Houston,Illinois,West,OFF-SUP-10876,Office Supplies,Supplies,Supplies Model 50,671.56,9,0.4,49.16
CA-2021-100061,2022-10-14,2022-10-20,Standard Class,CG-10507,Customer_38,Consumer,United States,Houston,Texas,Central,OFF-LAB-10890,Office Supplies,Labels,Labels Model 7,951.22,7,0.4,373.88
CA-2021-100062,2023-12-14,2023-12-18,Standard Class,CG-10076,Customer_481,Corporate,United States,Seattle,Texas,South,OFF-STO-10665,Office Supplies,Storage,Storage Model 6,40.54,3,0.4,13.08
CA-2021-100063,2023-02-18,2023-02-21,Standard Class,CG-10646,Customer_701,Corporate,United States,Los Angeles,Arizona,East,OFF-SUP-10444,Office Supplies,Supplies,Supplies Model 7,1257.33,8,0.0,214.34
CA-2021-100064,2023-06-28,2023-06-30,Second Class,CG-10300,Customer_368,Corporate,United States,Chicago,California,West,TEC-PHO-10543,Technology,Phones,Phones Model 27,1391.06,1,0.0,-7.48
CA-2021-100065,2021-12-15,2021-12-17,Standard Class,CG-10237,Customer_473,Home Office,United States,Seattle,Illinois,Central,TEC-ACC-10682,Technology,Accessories,Accessories Model 1,167.15,7,0.1,16.48
CA-2021-100066,2021-11-20,2021-11-21,Same Day,CG-10706,Customer_257,Corporate,United States,Seattle,California,South,OFF-APP-10873,Office Supplies,Appliances,Appliances Model 31,889.04,6,0.2,163.02
CA-2021-100067,2023-02-21,2023-02-26,Same Day,CG-10281,Customer_9,Home Office,United States,Phoenix,Arizona,East,FUR-TAB-10932,Furniture,Tables,Tables Model 39,724.33,5,0.2,-135.33
CA-2021-100068,2022-08-10,2022-08-17,Standard Class,CG-10635,Customer_257,Home Office,United States,Phoenix,Arizona,West,TEC-COP-10643,Technology,Copiers,Copiers Model 7,1599.73,10,0.3,-109.74
CA-2021-100069,2022-09-25,2022-10-02,Second Class,CG-10302,Customer_335,Home Office,United States,Chicago,California,West,TEC-PHO-10135,Technology,Phones,Phones Model 35,887.24,10,0.3,212.42
CA-2021-100070,2023-10-25,2023-10-28,First Class,CG-10764,Customer_347,Consumer,United States,Chicago,New York,West,OFF-SUP-10772,Office Supplies,Supplies,Supplies Model 15,1662.64,5,0.5,632.52
CA-2021-100071,2023-01-20,2023-01-21,Same Day,CG-10377,Customer_689,Home Office,United States,Phoenix,Washington,South,TEC-COP-10842,Technology,Copiers,Copiers Model 41,1583.46,1,0.2,193.09
CA-2021-100072,2022-04-24,2022-04-28,Standard Class,CG-10663,Customer_65,Home Office,United States,Chicago,Arizona,Central,OFF-STO-10664,Office Supplies,Storage,Storage Model 27,59.8,9,0.3,20.88
CA-2021-100073,2021-04-03,2021-04-04,Standard Class,CG-10397,Customer_465,Corporate,United States,Phoenix,Arizona,South,FUR-TAB-10601,Furniture,Tables,Tables Model 48,615.69,8,0.0,-87.23
CA-2021-100074,2023-04-30,2023-05-06,First Class,CG-10033,Customer_707,Corporate,United States,Los Angeles,Illinois,South,TEC-ACC-10973,Technology,Accessories,Accessories Model 16,207.05,8,0.4,75.25
CA-2021-100075,2023-01-23,2023-01-28,Standard Class,CG-10125,Customer_466,Consumer,United States,Phoenix,California,East,OFF-STO-10051,Office Supplies,Storage,Storage Model 22,1804.38,6,0.0,70.16
CA-2021-100076,2022-02-25,2022-02-26,Standard Class,CG-10336,Customer_793,Consumer,United States,Houston,New York,Central,FUR-TAB-10879,Furniture,Tables,Tables Model 10,1661.34,9,0.1,252.24
CA-2021-100077,2021-12-24,2021-12-25,Standard Class,CG-10602,Customer_332,Consumer,United States,Los Angeles,Washington,East,FUR-BOO-10129,Furniture,Bookcases,Bookcases Model 48,1325.5,1,0.0,-253.28
CA-2021-100078,2021-08-21,2021-08-27,Second Class,CG-10462,Customer_516,Consumer,United States,Houston,New York,Central,OFF-SUP-10469,Office Supplies,Supplies,Supplies Model 42,136.48,8,0.3,14.73
CA-2021-100079,2023-09-08,2023-09-15,Same Day,CG-10075,Customer_83,Corporate,United States,Houston,California,East,FUR-CHA-10129,Furniture,Chairs,Chairs Model 18,809.22,2,0.5,184.05
CA-2021-100080,2023-02-20,2023-02-25,Second Class,CG-10670,Customer_667,Home Office,United States,Phoenix,California,South,TEC-MAC-10462,Technology,Machines,Machines Model 15,1065.81,8,0.4,-149.74
CA-2021-100081,2023-07-18,2023-07-22,First Class,CG-10383,Customer_157,Home Office,United States,Chicago,New York,East,OFF-ENV-10851,Office Supplies,Envelopes,Envelopes Model 6,837.82,2,0.3,46.97
CA-2021-100082,2021-07-17,2021-07-23,First Class,CG-10686,Customer_126,Corporate,United States,Seattle,Arizona,South,FUR-FUR-10888,Furniture,Furnishings,Furnishings Model 47,1480.2,3,0.0,224.81
CA-2021-100083,2022-10-02,2022-10-05,Same Day,CG-10229,Customer_111,Corporate,United States,Houston,Washington,East,FUR-BOO-10780,Furniture,Bookcases,Bookcases Model 18,216.17,9,0.1,-23.17
CA-2021-100084,2023-05-29,2023-06-05,First Class,CG-10029,Customer_185,Corporate,United States,Phoenix,Washington,Central,TEC-ACC-10359,Technology,Accessories,Accessories Model 1,1126.32,10,0.0,186.29
CA-2021-100085,2023-04-01,2023-04-02,Standard Class,CG-10385,Customer_430,Corporate,United States,Seattle,California,Central,FUR-TAB-10319,Furniture,Tables,Tables Model 47,292.33,1,0.0,72.4
CA-2021-100086,2021-04-18,2021-04-20,First Class,CG-10453,Customer_678,Corporate,United States,Chicago,Texas,South,OFF-STO-10424,Office Supplies,Storage,Storage Model 18,323.25,10,0.0,66.07
CA-2021-100087,2022-12-08,2022-12-12,First Class,CG-10046,Customer_226,Corporate,United States,Houston,New York,East,FUR-CHA-10209,Furniture,Chairs,Chairs Model 20,230.67,10,0.5,26.79
CA-2021-100088,2022-06-08,2022-06-11,Standard Class,CG-10132,Customer_390,Home Office,United States,Phoenix,California,Central,FUR-TAB-10073,Furniture,Tables,Tables Model 26,662.96,1,0.5,164.55
CA-2021-100089,2023-06-13,2023-06-14,Same Day,CG-10726,Customer_656,Corporate,United States,Seattle,New York,South,TEC-PHO-10021,Technology,Phones,Phones Model 21,924.91,2,0.3,134.53
CA-2021-100090,2023-01-12,2023-01-13,Same Day,CG-10536,Customer_81,Corporate,United States,Seattle,Arizona,Central,FUR-FUR-10226,Furniture,Furnishings,Furnishings Model 22,879.06,2,0.1,53.98
CA-2021-100091,2023-11-12,2023-11-18,First Class,CG-10359,Customer_745,Home Office,United States,Los Angeles,California,East,FUR-CHA-10149,Furniture,Chairs,Chairs Model 17,236.91,9,0.1,81.39
CA-2021-100092,2021-11-10,2021-11-17,Same Day,CG-10475,Customer_773,Home Office,United States,Houston,Illinois,Central,FUR-TAB-10884,Furniture,Tables,Tables Model 41,1520.71,2,0.0,563.84
CA-2021-100093,2023-06-20,2023-06-21,First Class,CG-10519,Customer_76,Corporate,United States,Chicago,Illinois,East,OFF-ART-10058,Office Supplies,Art,Art Model 24,943.15,5,0.2,146.05
CA-2021-100094,2021-07-04,2021-07-09,Second Class,CG-10460,Customer_586,Home Office,United States,Los Angeles,Washington,South,OFF-STO-10513,Office Supplies,Storage,Storage Model 10,1192.22,7,0.5,176.68
CA-2021-100095,2021-07-31,2021-08-07,Standard Class,CG-10040,Customer_254,Home Office,United States,Chicago,Illinois,West,FUR-FUR-10372,Furniture,Furnishings,Furnishings Model 24,1799.26,6,0.0,184.84
CA-2021-100096,2023-04-18,2023-04-25,First Class,CG-10067,Customer_338,Consumer,United States,Houston,Arizona,South,OFF-FAS-10290,Office Supplies,Fasteners,Fasteners Model 17,683.35,10,0.0,186.92
CA-2021-100097,2022-11-14,2022-11-15,Same Day,CG-10132,Customer_610,Home Office,United States,New York,Washington,South,TEC-ACC-10658,Technology,Accessories,Accessories Model 22,1169.65,3,0.3,-16.21
CA-2021-100098,2023-05-18,2023-05-23,Standard Class,CG-10349,Customer_785,Corporate,United States,Los Angeles,California,West,FUR-CHA-10158,Furniture,Chairs,Chairs Model 5,730.04,6,0.2,-67.05
CA-2021-100099,2023-11-06,2023-11-13,Standard Class,CG-10611,Customer_386,Consumer,United States,Los Angeles,California,West,OFF-STO-10738,Office Supplies,Storage,Storage Model 29,1084.14,9,0.0,213.75
CA-2021-100100,2023-01-17,2023-01-23,Same Day,CG-10239,Customer_547,Consumer,United States,Seattle,Illinois,West,FUR-FUR-10376,Furniture,Furnishings,Furnishings Model 44,1441.98,8,0.2,362.56
CA-2021-100101,2023-08-04,2023-08-11,Standard Class,CG-10619,Customer_142,Corporate,United States,New York,Arizona,South,TEC-COP-10895,Technology,Copiers,Copiers Model 24,570.73,7,0.4,216.74
CA-2021-100102,2023-11-23,2023-11-30,Standard Class,CG-10447,Customer_94,Consumer,United States,Chicago,Washington,East,TEC-PHO-10424,Technology,Phones,Phones Model 4,258.11,2,0.0,-9.38
CA-2021-100103,2023-02-05,2023-02-07,First Class,CG-10101,Customer_732,Home Office,United States,Seattle,California,West,OFF-SUP-10039,Office Supplies,Supplies,Supplies Model 19,778.47,2,0.3,-50.82
CA-2021-100104,2023-08-19,2023-08-23,Standard Class,CG-10561,Customer_745,Home Office,United States,Houston,Illinois,East,OFF-ART-10794,Office Supplies,Art,Art Model 19,1234.54,2,0.0,-57.34
CA-2021-100105,2021-09-07,2021-09-08,Same Day,CG-10611,Customer_549,Consumer,United States,Phoenix,Texas,West,FUR-BOO-10735,Furniture,Bookcases,Bookcases Model 10,484.49,10,0.5,-78.64
CA-2021-100106,2021-01-04,2021-01-09,Second Class,CG-10536,Customer_370,Consumer,United States,Houston,Texas,East,OFF-FAS-10399,Office Supplies,Fasteners,Fasteners Model 31,712.1,10,0.4,-62.39
CA-2021-100107,2023-02-04,2023-02-07,Second Class,CG-10790,Customer_596,Home Office,United States,Seattle,California,East,FUR-FUR-10360,Furniture,Furnishings,Furnishings Model 35,1497.16,6,0.0,10.3
CA-2021-100108,2023-08-10,2023-08-16,Same Day,CG-10037,Customer_301,Consumer,United States,New York,California,East,OFF-ART-10323,Office Supplies,Art,Art Model 20,962.28,3,0.0,-156.02
CA-2021-100109,2023-08-28,2023-08-31,Second Class,CG-10671,Customer_340,Corporate,United States,New York,Washington,South,TEC-COP-10910,Technology,Copiers,Copiers Model 26,82.88,4,0.2,1.18
CA-2021-100110,2023-03-03,2023-03-06,First Class,CG-10084,Customer_745,Corporate,United States,New York,Illinois,West,TEC-COP-10558,Technology,Copiers,Copiers Model 19,1947.71,8,0.5,39.75
CA-2021-100111,2021-06-13,2021-06-16,Same Day,CG-10170,Customer_707,Corporate,United States,Seattle,Illinois,East,OFF-STO-10744,Office Supplies,Storage,Storage Model 23,1325.23,5,0.5,214.12
CA-2021-100112,2022-07-17,2022-07-23,Same Day,CG-10372,Customer_526,Home Office,United States,Phoenix,California,East,TEC-COP-10146,Technology,Copiers,Copiers Model 39,1960.25,1,0.0,397.36
CA-2021-100113,2021-03-13,2021-03-15,Second Class,CG-10619,Customer_158,Home Office,United States,Chicago,Washington,Central,TEC-COP-10454,Technology,Copiers,Copiers Model 49,143.79,6,0.3,4.27
CA-2021-100114,2023-12-21,2023-12-24,Second Class,CG-10753,Customer_191,Corporate,United States,Houston,Illinois,East,FUR-TAB-10268,Furniture,Tables,Tables Model 50,802.09,5,0.1,301.84
CA-2021-100115,2022-03-16,2022-03-21,Second Class,CG-10462,Customer_177,Home Office,United States,Chicago,New York,Central,OFF-PAP-10683,Office Supplies,Paper,Paper Model 23,578.3,8,0.1,-73.11
CA-2021-100116,2022-08-18,2022-08-21,Second Class,CG-10205,Customer_143,Consumer,United States,Chicago,New York,Central,TEC-PHO-10567,Technology,Phones,Phones Model 37,1704.21,3,0.3,179.37
CA-2021-100117,2021-09-23,2021-09-28,Same Day,CG-10538,Customer_421,Corporate,United States,Houston,New York,West,OFF-PAP-10995,Office Supplies,Paper,Paper Model 21,1769.65,2,0.2,68.83
CA-2021-100118,2023-07-11,2023-07-15,Standard Class,CG-10786,Customer_133,Corporate,United States,Houston,New York,East,TEC-PHO-10530,Technology,Phones,Phones Model 10,1363.42,6,0.0,445.53
CA-2021-100119,2021-11-28,2021-12-01,First Class,CG-10080,Customer_257,Consumer,United States,Phoenix,Texas,Central,OFF-ART-10128,Office Supplies,Art,Art Model 41,1870.13,4,0.3,689.12
CA-2021-100120,2021-07-11,2021-07-16,First Class,CG-10577,Customer_43,Consumer,United States,New York,New York,Central,OFF-SUP-10666,Office Supplies,Supplies,Supplies Model 14,1285.56,10,0.0,-125.06
CA-2021-100121,2021-03-04,2021-03-08,First Class,CG-10494,Customer_251,Home Office,United States,Chicago,Washington,South,TEC-COP-10074,Technology,Copiers,Copiers Model 45,1779.1,9,0.2,329.39
CA-2021-100122,2023-06-20,2023-06-24,First Class,CG-10735,Customer_327,Home Office,United States,Seattle,Illinois,West,FUR-TAB-10778,Furniture,Tables,Tables Model 24,973.66,4,0.3,159.68
CA-2021-100123,2022-10-16,2022-10-18,Second Class,CG-10051,Customer_298,Corporate,United States,Houston,Illinois,West,TEC-PHO-10985,Technology,Phones,Phones Model 11,938.28,5,0.5,-48.09
CA-2021-100124,2022-01-24,2022-01-31,First Class,CG-10509,Customer_24,Consumer,United States,Chicago,Texas,South,OFF-ENV-10989,Office Supplies,Envelopes,Envelopes Model 16,327.09,9,0.5,32.47
CA-2021-100125,2021-04-10,2021-04-11,Second Class,CG-10110,Customer_442,Consumer,United States,Seattle,Arizona,Central,FUR-BOO-10782,Furniture,Bookcases,Bookcases Model 26,569.9,10,0.5,-16.27
CA-2021-100126,2023-04-01,2023-04-02,Second Class,CG-10395,Customer_517,Corporate,United States,Houston,Washington,East,OFF-LAB-10131,Office Supplies,Labels,Labels Model 7,1144.86,4,0.3,151.05
CA-2021-100127,2022-11-26,2022-12-01,Same Day,CG-10512,Customer_42,Consumer,United States,New York,California,Central,OFF-ENV-10823,Office Supplies,Envelopes,Envelopes Model 31,1878.51,3,0.1,303.34
CA-2021-100128,2021-11-02,2021-11-07,First Class,CG-10166,Customer_403,Home Office,United States,Phoenix,Washington,Central,TEC-COP-10519,Technology,Copiers,Copiers Model 33,1787.33,3,0.3,641.33
CA-2021-100129,2022-09-06,2022-09-10,Same Day,CG-10597,Customer_316,Home Office,United States,Phoenix,Arizona,East,TEC-COP-10611,Technology,Copiers,Copiers Model 31,1633.34,6,0.3,333.66
CA-2021-100130,2021-04-16,2021-04-21,Standard Class,CG-10032,Customer_587,Home Office,United States,New York,California,East,OFF-BIN-10451,Office Supplies,Binders,Binders Model 21,966.09,9,0.4,-107.56
CA-2021-100131,2023-04-26,2023-05-02,Second Class,CG-10722,Customer_142,Home Office,United States,Los Angeles,Texas,Central,OFF-ART-10678,Office Supplies,Art,Art Model 31,415.74,9,0.5,134.57
CA-2021-100132,2022-10-05,2022-10-07,First Class,CG-10624,Customer_496,Consumer,United States,Los Angeles,Washington,Central,TEC-COP-10230,Technology,Copiers,Copiers Model 20,924.73,9,0.3,118.15
CA-2021-100133,2023-09-29,2023-10-02,Same Day,CG-10404,Customer_354,Consumer,United States,Seattle,New York,Central,OFF-BIN-10978,Office Supplies,Binders,Binders Model 46,964.81,9,0.2,-26.36
