product_id,product_name,category,sub_category
TEC-PHO-10852,Phones Model 27,Technology,Phones
OFF-LAB-10499,Labels Model 15,Office Supplies,Labels
OFF-FAS-10085,Fasteners Model 42,Office Supplies,Fasteners
OFF-ART-10854,Art Model 6,Office Supplies,Art
OFF-LAB-10484,Labels Model 43,Office Supplies,Labels
FUR-TAB-10589,Tables Model 44,Furniture,Tables
OFF-FAS-10545,Fasteners Model 28,Office Supplies,Fasteners
TEC-MAC-10445,Machines Model 12,Technology,Machines
TEC-MAC-10344,Machines Model 2,Technology,Machines
OFF-ENV-10737,Envelopes Model 27,Office Supplies,Envelopes
OFF-SUP-10679,Supplies Model 38,Office Supplies,Supplies
OFF-PAP-10323,Paper Model 8,Office Supplies,Paper
TEC-ACC-10725,Accessories Model 35,Technology,Accessories
FUR-BOO-10188,Bookcases Model 4,Furniture,Bookcases
OFF-PAP-10121,Paper Model 36,Office Supplies,Paper
OFF-BIN-10970,Binders Model 49,Office Supplies,Binders
FUR-TAB-10298,Tables Model 3,Furniture,Tables
FUR-BOO-10930,Bookcases Model 18,Furniture,Bookcases
FUR-CHA-10448,Chairs Model 6,Furniture,Chairs
TEC-PHO-10481,Phones Model 34,Technology,Phones
TEC-COP-10878,Copiers Model 11,Technology,Copiers
OFF-FAS-10673,Fasteners Model 35,Office Supplies,Fasteners
OFF-FAS-10901,Fasteners Model 45,Office Supplies,Fasteners
OFF-STO-10969,Storage Model 8,Office Supplies,Storage
TEC-ACC-10943,Accessories Model 39,Technology,Accessories
TEC-ACC-10886,Accessories Model 10,Technology,Accessories
OFF-SUP-10876,Supplies Model 50,Office Supplies,Supplies
OFF-LAB-10890,Labels Model 7,Office Supplies,Labels
OFF-STO-10665,Storage Model 6,Office Supplies,Storage
OFF-SUP-10444,Supplies Model 7,Office Supplies,Supplies
TEC-PHO-10543,Phones Model 27,Technology,Phones
TEC-ACC-10682,Accessories Model 1,Technology,Accessories
OFF-APP-10873,Appliances Model 31,Office Supplies,Appliances
FUR-TAB-10932,Tables Model 39,Furniture,Tables
TEC-COP-10643,Copiers Model 7,Technology,Copiers
TEC-PHO-10135,Phones Model 35,Technology,Phones
OFF-SUP-10772,Supplies Model 15,Office Supplies,Supplies
TEC-COP-10842,Copiers Model 41,Technology,Copiers
OFF-STO-10664,Storage Model 27,Office Supplies,Storage
FUR-TAB-10601,Tables Model 48,Furniture,Tables
TEC-ACC-10973,Accessories Model 16,Technology,Accessories
OFF-STO-10051,Storage Model 22,Office Supplies,Storage
FUR-TAB-10879,Tables Model 10,Furniture,Tables
FUR-BOO-10129,Bookcases Model 48,Furniture,Bookcases
OFF-SUP-10469,Supplies Model 42,Office Supplies,Supplies
FUR-CHA-10129,Chairs Model 18,Furniture,Chairs
TEC-MAC-10462,Machines Model 15,Technology,Machines
OFF-ENV-10851,Envelopes Model 6,Office Supplies,Envelopes
FUR-FUR-10888,Furnishings Model 47,Furniture,Furnishings
FUR-BOO-10780,Bookcases Model 18,Furniture,Bookcases
TEC-ACC-10359,Accessories Model 1,Technology,Accessories
FUR-TAB-10319,Tables Model 47,Furniture,Tables
OFF-STO-10424,Storage Model 18,Office Supplies,Storage
FUR-CHA-10209,Chairs Model 20,Furniture,Chairs
FUR-TAB-10073,Tables Model 26,Furniture,Tables
TEC-PHO-10021,Phones Model 21,Technology,Phones
FUR-FUR-10226,Furnishings Model 22,Furniture,Furnishings
FUR-CHA-10149,Chairs Model 17,Furniture,Chairs
FUR-TAB-10884,Tables Model 41,Furniture,Tables
OFF-ART-10058,Art Model 24,Office Supplies,Art
OFF-STO-10513,Storage Model 10,Office Supplies,Storage
FUR-FUR-10372,Furnishings Model 24,Furniture,Furnishings
OFF-FAS-10290,Fasteners Model 17,Office Supplies,Fasteners
TEC-ACC-10658,Accessories Model 22,Technology,Accessories
FUR-CHA-10158,Chairs Model 5,Furniture,Chairs
OFF-STO-10738,Storage Model 29,Office Supplies,Storage
FUR-FUR-10376,Furnishings Model 44,Furniture,Furnishings
TEC-COP-10895,Copiers Model 24,Technology,Copiers
TEC-PHO-10424,Phones Model 4,Technology,Phones
OFF-SUP-10039,Supplies Model 19,Office Supplies,Supplies
OFF-ART-10794,Art Model 19,Office Supplies,Art
OFF-FAS-10399,Fasteners Model 31,Office Supplies,Fasteners
FUR-FUR-10360,Furnishings Model 35,Furniture,Furnishings
OFF-ART-10323,Art Model 20,Office Supplies,Art
TEC-COP-10910,Copiers Model 26,Technology,Copiers
TEC-COP-10558,Copiers Model 19,Technology,Copiers
OFF-STO-10744,Storage Model 23,Office Supplies,Storage
TEC-COP-10146,Copiers Model 39,Technology,Copiers
TEC-COP-10454,Copiers Model 49,Technology,Copiers
FUR-TAB-10268,Tables Model 50,Furniture,Tables
OFF-PAP-10683,Paper Model 23,Office Supplies,Paper
TEC-PHO-10567,Phones Model 37,Technology,Phones
OFF-PAP-10995,Paper Model 21,Office Supplies,Paper
TEC-PHO-10530,Phones Model 10,Technology,Phones
OFF-ART-10128,Art Model 41,Office Supplies,Art
OFF-SUP-10666,Supplies Model 14,Office Supplies,Supplies
TEC-COP-10074,Copiers Model 45,Technology,Copiers
FUR-TAB-10778,Tables Model 24,Furniture,Tables
TEC-PHO-10985,Phones Model 11,Technology,Phones
OFF-ENV-10989,Envelopes Model 16,Office Supplies,Envelopes
FUR-BOO-10782,Bookcases Model 26,Furniture,Bookcases
OFF-LAB-10131,Labels Model 7,Office Supplies,Labels
OFF-ENV-10823,Envelopes Model 31,Office Supplies,Envelopes
TEC-COP-10519,Copiers Model 33,Technology,Copiers
TEC-COP-10611,Copiers Model 31,Technology,Copiers
OFF-BIN-10451,Binders Model 21,Office Supplies,Binders
OFF-ART-10678,Art Model 31,Office Supplies,Art
TEC-COP-10230,Copiers Model 20,Technology,Copiers
OFF-BIN-10978,Binders Model 46,Office Supplies,Binders
FUR-BOO-10248,Bookcases Model 4,Furniture,Bookcases
TEC-ACC-10488,Accessories Model 42,Technology,Accessories
FUR-BOO-10190,Bookcases Model 48,Furniture,Bookcases
OFF-LAB-10338,Labels Model 11,Office Supplies,Labels
TEC-COP-10088,Copiers Model 26,Technology,Copiers
TEC-PHO-10267,Phones Model 42,Technology,Phones
OFF-BIN-10224,Binders Model 9,Office Supplies,Binders
OFF-ART-10538,Art Model 29,Office Supplies,Art
TEC-MAC-10734,Machines Model 38,Technology,Machines
OFF-STO-10740,Storage Model 2,Office Supplies,Storage
OFF-APP-10418,Appliances Model 12,Office Supplies,Appliances
FUR-FUR-10541,Furnishings Model 9,Furniture,Furnishings
TEC-ACC-10158,Accessories Model 18,Technology,Accessories
FUR-CHA-10250,Chairs Model 48,Furniture,Chairs
FUR-FUR-10242,Furnishings Model 20,Furniture,Furnishings
FUR-TAB-10804,Tables Model 34,Furniture,Tables
OFF-FAS-10991,Fasteners Model 27,Office Supplies,Fasteners
TEC-ACC-10386,Accessories Model 44,Technology,Accessories
TEC-PHO-10764,Phones Model 49,Technology,Phones
OFF-BIN-10368,Binders Model 33,Office Supplies,Binders
OFF-PAP-10016,Paper Model 17,Office Supplies,Paper
TEC-COP-10781,Copiers Model 32,Technology,Copiers
TEC-COP-10859,Copiers Model 5,Technology,Copiers
TEC-PHO-10675,Phones Model 32,Technology,Phones
FUR-CHA-10109,Chairs Model 7,Furniture,Chairs
TEC-ACC-10713,Accessories Model 15,Technology,Accessories
OFF-STO-10579,Storage Model 7,Office Supplies,Storage
TEC-PHO-10183,Phones Model 21,Technology,Phones
FUR-TAB-10773,Tables Model 48,Furniture,Tables
FUR-CHA-10030,Chairs Model 41,Furniture,Chairs
OFF-PAP-10084,Paper Model 18,Office Supplies,Paper
FUR-FUR-10191,Furnishings Model 28,Furniture,Furnishings
OFF-SUP-10742,Supplies Model 36,Office Supplies,Supplies
FUR-TAB-10801,Tables Model 5,Furniture,Tables
OFF-APP-10823,Appliances Model 22,Office Supplies,Appliances
OFF-ENV-10752,Envelopes Model 45,Office Supplies,Envelopes
TEC-COP-10975,Copiers Model 47,Technology,Copiers
OFF-BIN-10732,Binders Model 28,Office Supplies,Binders
OFF-STO-10787,Storage Model 16,Office Supplies,Storage
TEC-MAC-10522,Machines Model 48,Technology,Machines
TEC-ACC-10851,Accessories Model 47,Technology,Accessories
FUR-BOO-10307,Bookcases Model 3,Furniture,Bookcases
TEC-PHO-10981,Phones Model 30,Technology,Phones
FUR-FUR-10210,Furnishings Model 18,Furniture,Furnishings
TEC-PHO-10611,Phones Model 25,Technology,Phones
TEC-COP-10120,Copiers Model 16,Technology,Copiers
OFF-STO-10568,Storage Model 11,Office Supplies,Storage
OFF-FAS-10172,Fasteners Model 50,Office Supplies,Fasteners
OFF-PAP-10104,Paper Model 48,Office Supplies,Paper
TEC-ACC-10881,Accessories Model 46,Technology,Accessories
TEC-COP-10720,Copiers Model 19,Technology,Copiers
OFF-APP-10728,Appliances Model 21,Office Supplies,Appliances
FUR-FUR-10711,Furnishings Model 24,Furniture,Furnishings
OFF-PAP-10506,Paper Model 18,Office Supplies,Paper
OFF-APP-10951,Appliances Model 11,Office Supplies,Appliances
OFF-PAP-10680,Paper Model 42,Office Supplies,Paper
FUR-CHA-10531,Chairs Model 44,Furniture,Chairs
OFF-LAB-10105,Labels Model 21,Office Supplies,Labels
OFF-APP-10643,Appliances Model 48,Office Supplies,Appliances
FUR-FUR-10660,Furnishings Model 6,Furniture,Furnishings
FUR-BOO-10506,Bookcases Model 25,Furniture,Bookcases
FUR-TAB-10781,Tables Model 31,Furniture,Tables
FUR-CHA-10433,Chairs Model 45,Furniture,Chairs
OFF-STO-10317,Storage Model 45,Office Supplies,Storage
OFF-BIN-10122,Binders Model 1,Office Supplies,Binders
TEC-ACC-10826,Accessories Model 28,Technology,Accessories
OFF-SUP-10261,Supplies Model 50,Office Supplies,Supplies
FUR-CHA-10229,Chairs Model 21,Furniture,Chairs
FUR-FUR-10898,Furnishings Model 30,Furniture,Furnishings
OFF-APP-10791,Appliances Model 50,Office Supplies,Appliances
FUR-TAB-10106,Tables Model 14,Furniture,Tables
TEC-ACC-10594,Accessories Model 7,Technology,Accessories
TEC-ACC-10325,Accessories Model 29,Technology,Accessories
OFF-BIN-10987,Binders Model 50,Office Supplies,Binders
FUR-FUR-10151,Furnishings Model 6,Furniture,Furnishings
TEC-ACC-10096,Accessories Model 30,Technology,Accessories
FUR-TAB-10939,Tables Model 5,Furniture,Tables
FUR-CHA-10841,Chairs Model 47,Furniture,Chairs
OFF-PAP-10662,Paper Model 19,Office Supplies,Paper
OFF-FAS-10491,Fasteners Model 35,Office Supplies,Fasteners
OFF-ENV-10785,Envelopes Model 38,Office Supplies,Envelopes
FUR-TAB-10606,Tables Model 21,Furniture,Tables
TEC-MAC-10092,Machines Model 4,Technology,Machines
FUR-TAB-10600,Tables Model 46,Furniture,Tables
FUR-CHA-10999,Chairs Model 11,Furniture,Chairs
TEC-COP-10181,Copiers Model 47,Technology,Copiers
FUR-FUR-10355,Furnishings Model 21,Furniture,Furnishings
OFF-ART-10075,Art Model 3,Office Supplies,Art
OFF-LAB-10608,Labels Model 40,Office Supplies,Labels
OFF-LAB-10676,Labels Model 19,Office Supplies,Labels
OFF-BIN-10204,Binders Model 7,Office Supplies,Binders
FUR-TAB-10657,Tables Model 35,Furniture,Tables
OFF-ART-10770,Art Model 45,Office Supplies,Art
TEC-PHO-10586,Phones Model 16,Technology,Phones
OFF-APP-10433,Appliances Model 6,Office Supplies,Appliances
TEC-COP-10877,Copiers Model 18,Technology,Copiers
TEC-COP-10576,Copiers Model 50,Technology,Copiers
FUR-BOO-10039,Bookcases Model 26,Furniture,Bookcases
OFF-BIN-10995,Binders Model 15,Office Supplies,Binders
FUR-BOO-10777,Bookcases Model 34,Furniture,Bookcases
OFF-LAB-10467,Labels Model 4,Office Supplies,Labels
OFF-BIN-10181,Binders Model 31,Office Supplies,Binders
TEC-MAC-10693,Machines Model 14,Technology,Machines
OFF-FAS-10729,Fasteners Model 46,Office Supplies,Fasteners
TEC-MAC-10007,Machines Model 33,Technology,Machines
TEC-MAC-10192,Machines Model 10,Technology,Machines
TEC-ACC-10928,Accessories Model 27,Technology,Accessories
OFF-FAS-10519,Fasteners Model 20,Office Supplies,Fasteners
FUR-TAB-10430,Tables Model 22,Furniture,Tables
OFF-APP-10542,Appliances Model 20,Office Supplies,Appliances
OFF-LAB-10340,Labels Model 41,Office Supplies,Labels
FUR-BOO-10648,Bookcases Model 28,Furniture,Bookcases
OFF-FAS-10641,Fasteners Model 47,Office Supplies,Fasteners
FUR-TAB-10444,Tables Model 44,Furniture,Tables
FUR-BOO-10126,Bookcases Model 24,Furniture,Bookcases
TEC-PHO-10426,Phones Model 29,Technology,Phones
OFF-STO-10428,Storage Model 7,Office Supplies,Storage
TEC-PHO-10164,Phones Model 3,Technology,Phones
TEC-COP-10798,Copiers Model 33,Technology,Copiers
FUR-CHA-10436,Chairs Model 48,Furniture,Chairs
FUR-CHA-10187,Chairs Model 8,Furniture,Chairs
OFF-FAS-10106,Fasteners Model 27,Office Supplies,Fasteners
TEC-COP-10064,Copiers Model 17,Technology,Copiers
TEC-MAC-10443,Machines Model 43,Technology,Machines
TEC-ACC-10890,Accessories Model 11,Technology,Accessories
FUR-FUR-10090,Furnishings Model 32,Furniture,Furnishings
OFF-ENV-10911,Envelopes Model 33,Office Supplies,Envelopes
TEC-ACC-10733,Accessories Model 29,Technology,Accessories
TEC-ACC-10790,Accessories Model 29,Technology,Accessories
OFF-SUP-10106,Supplies Model 25,Office Supplies,Supplies
TEC-MAC-10863,Machines Model 45,Technology,Machines
TEC-MAC-10727,Machines Model 8,Technology,Machines
OFF-SUP-10054,Supplies Model 43,Office Supplies,Supplies
FUR-TAB-10833,Tables Model 29,Furniture,Tables
FUR-TAB-10761,Tables Model 17,Furniture,Tables
FUR-FUR-10985,Furnishings Model 12,Furniture,Furnishings
TEC-PHO-10157,Phones Model 21,Technology,Phones
TEC-PHO-10425,Phones Model 35,Technology,Phones
TEC-COP-10117,Copiers Model 43,Technology,Copiers
OFF-PAP-10025,Paper Model 34,Office Supplies,Paper
OFF-SUP-10215,Supplies Model 43,Office Supplies,Supplies
TEC-ACC-10038,Accessories Model 6,Technology,Accessories
FUR-CHA-10017,Chairs Model 25,Furniture,Chairs
TEC-PHO-10805,Phones Model 44,Technology,Phones
OFF-STO-10815,Storage Model 35,Office Supplies,Storage
OFF-ART-10550,Art Model 36,Office Supplies,Art
FUR-BOO-10117,Bookcases Model 12,Furniture,Bookcases
TEC-PHO-10687,Phones Model 42,Technology,Phones
FUR-CHA-10579,Chairs Model 37,Furniture,Chairs
OFF-ENV-10898,Envelopes Model 31,Office Supplies,Envelopes
OFF-PAP-10744,Paper Model 5,Office Supplies,Paper
FUR-CHA-10137,Chairs Model 30,Furniture,Chairs
TEC-PHO-10753,Phones Model 47,Technology,Phones
OFF-ENV-10480,Envelopes Model 30,Office Supplies,Envelopes
FUR-CHA-10374,Chairs Model 38,Furniture,Chairs
TEC-PHO-10450,Phones Model 11,Technology,Phones
FUR-CHA-10493,Chairs Model 44,Furniture,Chairs
OFF-PAP-10912,Paper Model 37,Office Supplies,Paper
FUR-CHA-10459,Chairs Model 39,Furniture,Chairs
OFF-PAP-10944,Paper Model 30,Office Supplies,Paper
TEC-PHO-10898,Phones Model 35,Technology,Phones
TEC-PHO-10234,Phones Model 31,Technology,Phones
OFF-ENV-10005,Envelopes Model 46,Office Supplies,Envelopes
OFF-ENV-10314,Envelopes Model 37,Office Supplies,Envelopes
OFF-FAS-10164,Fasteners Model 25,Office Supplies,Fasteners
TEC-PHO-10953,Phones Model 26,Technology,Phones
TEC-MAC-10629,Machines Model 11,Technology,Machines
OFF-SUP-10576,Supplies Model 31,Office Supplies,Supplies
FUR-BOO-10819,Bookcases Model 21,Furniture,Bookcases
OFF-ENV-10487,Envelopes Model 21,Office Supplies,Envelopes
OFF-BIN-10854,Binders Model 16,Office Supplies,Binders
TEC-MAC-10502,Machines Model 12,Technology,Machines
TEC-MAC-10881,Machines Model 44,Technology,Machines
OFF-BIN-10286,Binders Model 29,Office Supplies,Binders
FUR-TAB-10180,Tables Model 27,Furniture,Tables
OFF-ART-10833,Art Model 17,Office Supplies,Art
OFF-STO-10590,Storage Model 37,Office Supplies,Storage
TEC-ACC-10889,Accessories Model 11,Technology,Accessories
TEC-MAC-10619,Machines Model 42,Technology,Machines
OFF-APP-10963,Appliances Model 48,Office Supplies,Appliances
TEC-PHO-10106,Phones Model 17,Technology,Phones
TEC-ACC-10029,Accessories Model 3,Technology,Accessories
TEC-MAC-10646,Machines Model 48,Technology,Machines
TEC-COP-10159,Copiers Model 20,Technology,Copiers
FUR-CHA-10817,Chairs Model 19,Furniture,Chairs
TEC-ACC-10269,Accessories Model 6,Technology,Accessories
OFF-BIN-10113,Binders Model 41,Office Supplies,Binders
OFF-PAP-10128,Paper Model 46,Office Supplies,Paper
OFF-LAB-10082,Labels Model 49,Office Supplies,Labels
FUR-CHA-10789,Chairs Model 29,Furniture,Chairs
FUR-CHA-10259,Chairs Model 31,Furniture,Chairs
TEC-MAC-10405,Machines Model 16,Technology,Machines
FUR-CHA-10061,Chairs Model 23,Furniture,Chairs
TEC-ACC-10741,Accessories Model 9,Technology,Accessories
OFF-LAB-10888,Labels Model 39,Office Supplies,Labels
TEC-ACC-10904,Accessories Model 2,Technology,Accessories
TEC-MAC-10419,Machines Model 42,Technology,Machines
OFF-STO-10584,Storage Model 42,Office Supplies,Storage
OFF-PAP-10820,Paper Model 41,Office Supplies,Paper
FUR-BOO-10742,Bookcases Model 15,Furniture,Bookcases
TEC-COP-10719,Copiers Model 43,Technology,Copiers
OFF-STO-10782,Storage Model 41,Office Supplies,Storage
OFF-ENV-10610,Envelopes Model 2,Office Supplies,Envelopes
OFF-ENV-10740,Envelopes Model 21,Office Supplies,Envelopes
OFF-ART-10943,Art Model 50,Office Supplies,Art
OFF-ENV-10326,Envelopes Model 35,Office Supplies,Envelopes
TEC-ACC-10227,Accessories Model 28,Technology,Accessories
OFF-FAS-10780,Fasteners Model 9,Office Supplies,Fasteners
OFF-SUP-10115,Supplies Model 43,Office Supplies,Supplies
OFF-FAS-10045,Fasteners Model 15,Office Supplies,Fasteners
FUR-BOO-10312,Bookcases Model 29,Furniture,Bookcases
OFF-LAB-10385,Labels Model 38,Office Supplies,Labels
TEC-PHO-10885,Phones Model 7,Technology,Phones
FUR-BOO-10574,Bookcases Model 46,Furniture,Bookcases
FUR-CHA-10241,Chairs Model 33,Furniture,Chairs
OFF-LAB-10533,Labels Model 44,Office Supplies,Labels
TEC-ACC-10188,Accessories Model 21,Technology,Accessories
FUR-CHA-10780,Chairs Model 40,Furniture,Chairs
TEC-MAC-10188,Machines Model 25,Technology,Machines
OFF-PAP-10775,Paper Model 14,Office Supplies,Paper
FUR-TAB-10403,Tables Model 40,Furniture,Tables
TEC-PHO-10194,Phones Model 19,Technology,Phones
OFF-FAS-10092,Fasteners Model 47,Office Supplies,Fasteners
TEC-PHO-10903,Phones Model 30,Technology,Phones
FUR-BOO-10744,Bookcases Model 33,Furniture,Bookcases
TEC-ACC-10315,Accessories Model 20,Technology,Accessories
TEC-COP-10622,Copiers Model 32,Technology,Copiers
FUR-TAB-10151,Tables Model 4,Furniture,Tables
TEC-MAC-10625,Machines Model 43,Technology,Machines
TEC-ACC-10299,Accessories Model 31,Technology,Accessories
FUR-CHA-10495,Chairs Model 47,Furniture,Chairs
TEC-MAC-10904,Machines Model 40,Technology,Machines
FUR-BOO-10573,Bookcases Model 41,Furniture,Bookcases
FUR-CHA-10405,Chairs Model 47,Furniture,Chairs
TEC-PHO-10913,Phones Model 35,Technology,Phones
OFF-PAP-10818,Paper Model 23,Office Supplies,Paper
FUR-TAB-10726,Tables Model 3,Furniture,Tables
OFF-FAS-10803,Fasteners Model 3,Office Supplies,Fasteners
TEC-ACC-10105,Accessories Model 34,Technology,Accessories
TEC-MAC-10279,Machines Model 10,Technology,Machines
FUR-BOO-10587,Bookcases Model 16,Furniture,Bookcases
FUR-CHA-10088,Chairs Model 28,Furniture,Chairs
OFF-ART-10832,Art Model 45,Office Supplies,Art
OFF-STO-10716,Storage Model 43,Office Supplies,Storage
OFF-ENV-10520,Envelopes Model 7,Office Supplies,Envelopes
OFF-STO-10393,Storage Model 5,Office Supplies,Storage
OFF-BIN-10117,Binders Model 38,Office Supplies,Binders
TEC-COP-10335,Copiers Model 32,Technology,Copiers
TEC-PHO-10200,Phones Model 14,Technology,Phones
TEC-MAC-10867,Machines Model 9,Technology,Machines
OFF-LAB-10640,Labels Model 21,Office Supplies,Labels
TEC-COP-10893,Copiers Model 43,Technology,Copiers
FUR-TAB-10638,Tables Model 12,Furniture,Tables
OFF-SUP-10729,Supplies Model 33,Office Supplies,Supplies
OFF-FAS-10476,Fasteners Model 34,Office Supplies,Fasteners
FUR-CHA-10587,Chairs Model 47,Furniture,Chairs
OFF-FAS-10592,Fasteners Model 11,Office Supplies,Fasteners
TEC-PHO-10281,Phones Model 17,Technology,Phones
FUR-CHA-10351,Chairs Model 6,Furniture,Chairs
FUR-TAB-10295,Tables Model 29,Furniture,Tables
OFF-ENV-10821,Envelopes Model 7,Office Supplies,Envelopes
OFF-FAS-10012,Fasteners Model 27,Office Supplies,Fasteners
FUR-CHA-10973,Chairs Model 39,Furniture,Chairs
TEC-PHO-10676,Phones Model 5,Technology,Phones
TEC-COP-10264,Copiers Model 17,Technology,Copiers
FUR-FUR-10934,Furnishings Model 29,Furniture,Furnishings
TEC-MAC-10680,Machines Model 25,Technology,Machines
OFF-ART-10977,Art Model 45,Office Supplies,Art
OFF-STO-10663,Storage Model 13,Office Supplies,Storage
FUR-CHA-10143,Chairs Model 3,Furniture,Chairs
FUR-CHA-10415,Chairs Model 8,Furniture,Chairs
FUR-FUR-10718,Furnishings Model 42,Furniture,Furnishings
FUR-CHA-10064,Chairs Model 13,Furniture,Chairs
OFF-ENV-10123,Envelopes Model 18,Office Supplies,Envelopes
FUR-FUR-10016,Furnishings Model 32,Furniture,Furnishings
FUR-CHA-10535,Chairs Model 29,Furniture,Chairs
OFF-BIN-10196,Binders Model 8,Office Supplies,Binders
TEC-PHO-10509,Phones Model 12,Technology,Phones
FUR-CHA-10161,Chairs Model 2,Furniture,Chairs
OFF-SUP-10755,Supplies Model 27,Office Supplies,Supplies
FUR-FUR-10139,Furnishings Model 30,Furniture,Furnishings
TEC-ACC-10175,Accessories Model 49,Technology,Accessories
OFF-BIN-10857,Binders Model 30,Office Supplies,Binders
OFF-LAB-10041,Labels Model 31,Office Supplies,Labels
TEC-PHO-10972,Phones Model 14,Technology,Phones
FUR-BOO-10999,Bookcases Model 30,Furniture,Bookcases
OFF-ART-10303,Art Model 28,Office Supplies,Art
OFF-SUP-10374,Supplies Model 30,Office Supplies,Supplies
TEC-PHO-10755,Phones Model 49,Technology,Phones
TEC-ACC-10481,Accessories Model 46,Technology,Accessories
TEC-MAC-10111,Machines Model 11,Technology,Machines
OFF-STO-10298,Storage Model 13,Office Supplies,Storage
FUR-CHA-10468,Chairs Model 20,Furniture,Chairs
TEC-ACC-10979,Accessories Model 11,Technology,Accessories
TEC-PHO-10159,Phones Model 1,Technology,Phones
TEC-MAC-10142,Machines Model 44,Technology,Machines
TEC-PHO-10800,Phones Model 50,Technology,Phones
OFF-BIN-10930,Binders Model 43,Office Supplies,Binders
OFF-FAS-10220,Fasteners Model 47,Office Supplies,Fasteners
OFF-FAS-10067,Fasteners Model 38,Office Supplies,Fasteners
OFF-STO-10296,Storage Model 36,Office Supplies,Storage
OFF-LAB-10127,Labels Model 42,Office Supplies,Labels
TEC-MAC-10579,Machines Model 28,Technology,Machines
OFF-PAP-10365,Paper Model 11,Office Supplies,Paper
FUR-BOO-10556,Bookcases Model 21,Furniture,Bookcases
OFF-APP-10797,Appliances Model 32,Office Supplies,Appliances
OFF-ENV-10491,Envelopes Model 23,Office Supplies,Envelopes
OFF-ENV-10704,Envelopes Model 15,Office Supplies,Envelopes
OFF-ART-10812,Art Model 43,Office Supplies,Art
TEC-PHO-10189,Phones Model 43,Technology,Phones
OFF-LAB-10541,Labels Model 14,Office Supplies,Labels
TEC-ACC-10450,Accessories Model 44,Technology,Accessories
FUR-TAB-10780,Tables Model 24,Furniture,Tables
TEC-MAC-10875,Machines Model 28,Technology,Machines
FUR-CHA-10146,Chairs Model 26,Furniture,Chairs
OFF-STO-10783,Storage Model 46,Office Supplies,Storage
TEC-MAC-10501,Machines Model 32,Technology,Machines
FUR-TAB-10636,Tables Model 40,Furniture,Tables
FUR-CHA-10975,Chairs Model 49,Furniture,Chairs
FUR-FUR-10503,Furnishings Model 28,Furniture,Furnishings
FUR-BOO-10269,Bookcases Model 32,Furniture,Bookcases
TEC-COP-10783,Copiers Model 41,Technology,Copiers
OFF-FAS-10932,Fasteners Model 45,Office Supplies,Fasteners
FUR-BOO-10602,Bookcases Model 2,Furniture,Bookcases
OFF-FAS-10629,Fasteners Model 20,Office Supplies,Fasteners
OFF-FAS-10734,Fasteners Model 38,Office Supplies,Fasteners
FUR-BOO-10679,Bookcases Model 35,Furniture,Bookcases
OFF-BIN-10218,Binders Model 43,Office Supplies,Binders
TEC-COP-10154,Copiers Model 48,Technology,Copiers
TEC-MAC-10415,Machines Model 16,Technology,Machines
FUR-TAB-10139,Tables Model 2,Furniture,Tables
OFF-APP-10687,Appliances Model 43,Office Supplies,Appliances
FUR-FUR-10337,Furnishings Model 38,Furniture,Furnishings
TEC-COP-10546,Copiers Model 24,Technology,Copiers
TEC-PHO-10660,Phones Model 39,Technology,Phones
FUR-CHA-10949,Chairs Model 17,Furniture,Chairs
OFF-STO-10948,Storage Model 22,Office Supplies,Storage
