order_date,region,category,total_sales,total_profit,total_orders,avg_discount
2021-01-07,Central,Office Supplies,443.62,24.05,1,0.0
2021-01-07,East,Technology,702.94,40.1,1,0.1
2021-01-07,South,Furniture,1603.22,-269.58,1,0.0
2021-01-07,West,Technology,1608.81,-81.75,2,0.15
2021-01-08,Central,Office Supplies,775.3,38.27,1,0.1
2021-01-08,Central,Technology,55.24,11.27,1,0.5
2021-01-08,East,Office Supplies,3284.31,778.01,2,0.15
2021-01-08,South,Furniture,126.25,39.67,1,0.0
2021-01-08,West,Office Supplies,2398.48,398.76,2,0.45
2021-01-09,Central,Office Supplies,2688.72,846.45,2,0.5
2021-01-09,East,Furniture,192.95,59.62,1,0.0
2021-01-09,East,Technology,1510.67,-161.06,1,0.2
2021-01-09,South,Furniture,1163.38,260.1,1,0.1
2021-01-09,South,Office Supplies,646.27,13.61,1,0.0
2021-01-09,South,Technology,3444.23,-371.93,4,0.025
2021-01-09,West,Office Supplies,2953.15,-394.47,2,0.1
2021-01-09,West,Technology,572.43,128.79,1,0.3
2021-01-10,Central,Furniture,1506.5,249.8,1,0.3
2021-01-10,Central,Office Supplies,2263.07,-140.75,2,0.0
2021-01-10,East,Furniture,1985.04,654.0,3,0.1667
2021-01-10,East,Technology,1144.55,96.38,1,0.5
2021-01-10,South,Furniture,691.17,-28.21,2,0.2
2021-01-10,South,Office Supplies,2819.11,449.98,2,0.1
2021-01-10,South,Technology,4018.02,788.07,3,0.1667
2021-01-10,West,Furniture,2157.03,-340.26,2,0.2
2021-01-10,West,Office Supplies,1615.2,-223.5,1,0.0
2021-01-11,Central,Office Supplies,770.24,130.63,1,0.4
2021-01-11,East,Office Supplies,1497.62,-94.84,1,0.3
2021-01-11,East,Technology,899.99,-158.86,1,0.0
2021-01-11,South,Office Supplies,792.79,242.76,1,0.4
2021-01-11,South,Technology,1815.62,-69.18,1,0.0
2021-01-11,West,Office Supplies,1048.28,-88.36,1,0.0
2021-01-12,Central,Furniture,1817.49,-124.49,1,0.4
2021-01-12,Central,Office Supplies,2952.13,-188.79,2,0.2
2021-01-12,Central,Technology,509.66,60.22,1,0.4
2021-01-12,South,Furniture,1826.05,-169.07,1,0.2
2021-01-12,South,Technology,1383.89,176.24,1,0.5
2021-01-12,West,Office Supplies,319.22,107.54,1,0.1
2021-01-13,East,Office Supplies,253.59,-31.87,1,0.3
2021-01-13,East,Technology,1927.8,356.2,2,0.0
2021-01-13,South,Furniture,335.6,36.5,1,0.1
2021-01-13,West,Furniture,1625.84,239.65,2,0.1
2021-01-13,West,Technology,1945.12,218.8,1,0.4
2021-01-14,Central,Furniture,1666.68,-130.19,1,0.3
2021-01-14,Central,Office Supplies,624.86,45.1,2,0.15
2021-01-14,Central,Technology,1728.41,345.23,2,0.05
2021-01-14,South,Furniture,748.92,129.81,1,0.0
2021-01-14,South,Office Supplies,1281.22,-121.8,1,0.4
2021-01-14,South,Technology,1124.19,101.33,3,0.1667
2021-01-14,West,Furniture,1417.63,-251.32,1,0.0
2021-01-14,West,Technology,1567.25,-21.21,1,0.3
2021-01-15,Central,Furniture,3882.89,561.93,3,0.1667
2021-01-15,Central,Office Supplies,372.17,109.54,1,0.1
2021-01-15,Central,Technology,1506.61,362.49,1,0.0
2021-01-15,East,Furniture,298.61,-2.23,1,0.2
2021-01-15,South,Furniture,1877.92,644.8,1,0.5
2021-01-15,South,Office Supplies,638.14,93.19,1,0.1
2021-01-15,South,Technology,502.38,179.17,1,0.3
2021-01-15,West,Technology,753.55,27.77,1,0.4
2021-01-16,Central,Furniture,1711.26,517.14,1,0.2
2021-01-16,Central,Office Supplies,263.94,-17.24,1,0.0
2021-01-16,Central,Technology,1809.22,-292.43,1,0.4
2021-01-16,South,Office Supplies,1405.39,-70.52,1,0.0
2021-01-16,South,Technology,1287.09,-213.86,1,0.2
2021-01-16,West,Furniture,1696.84,133.32,2,0.2
2021-01-16,West,Office Supplies,1833.03,607.83,1,0.0
2021-01-17,Central,Furniture,3767.19,534.87,2,0.2
2021-01-17,Central,Technology,2001.52,36.18,2,0.45
2021-01-17,East,Furniture,2521.73,-381.94,2,0.0
2021-01-17,East,Office Supplies,693.71,150.13,1,0.4
2021-01-17,South,Furniture,3024.02,738.82,2,0.25
2021-01-17,South,Technology,2119.8,461.66,2,0.05
2021-01-17,West,Office Supplies,1094.59,345.62,1,0.0
2021-01-17,West,Technology,2121.47,288.65,2,0.4
2021-01-18,Central,Furniture,2172.35,507.89,3,0.1667
2021-01-18,Central,Technology,1003.8,38.47,2,0.0
2021-01-18,East,Office Supplies,1006.24,35.39,1,0.1
2021-01-18,East,Technology,775.81,82.14,1,0.1
2021-01-18,South,Office Supplies,890.59,-131.94,1,0.2
2021-01-18,West,Furniture,3093.2,-120.77,3,0.0667
2021-01-19,East,Furniture,3774.75,772.35,3,0.2
2021-01-19,East,Office Supplies,1140.24,-33.37,1,0.3
2021-01-19,South,Furniture,1122.19,417.54,1,0.1
2021-01-19,South,Office Supplies,632.83,-49.84,2,0.0
2021-01-19,South,Technology,1883.66,693.18,1,0.0
2021-01-19,West,Furniture,267.39,26.09,1,0.0
2021-01-19,West,Office Supplies,1967.87,31.83,1,0.4
2021-01-20,Central,Furniture,4890.25,568.37,3,0.2667
2021-01-20,Central,Technology,1839.76,-106.24,1,0.2
2021-01-20,East,Technology,321.79,-51.24,1,0.5
2021-01-20,South,Office Supplies,1297.81,455.44,1,0.2
2021-01-20,South,Technology,198.15,73.4,1,0.0
2021-01-21,Central,Technology,1568.31,-240.45,1,0.1
2021-01-21,East,Furniture,722.19,-82.73,1,0.0
2021-01-21,East,Office Supplies,1614.43,4.81,1,0.0
2021-01-21,South,Office Supplies,1528.45,87.99,1,0.0
2021-01-21,South,Technology,1291.45,442.52,1,0.3
2021-01-22,East,Furniture,1856.91,-182.35,1,0.3
2021-01-22,South,Furniture,1578.69,-72.06,1,0.0
2021-01-22,South,Office Supplies,834.64,36.94,1,0.0
2021-01-22,South,Technology,2195.3,285.09,2,0.4
2021-01-22,West,Office Supplies,516.96,190.36,1,0.0
2021-01-22,West,Technology,4112.71,487.07,4,0.4
2021-01-23,Central,Furniture,199.38,20.03,1,0.3
2021-01-23,Central,Office Supplies,1834.08,-145.85,1,0.0
2021-01-23,Central,Technology,2086.46,-172.55,2,0.15
2021-01-23,East,Office Supplies,395.33,60.96,1,0.4
2021-01-23,South,Furniture,2026.74,279.13,2,0.05
2021-01-23,South,Technology,1397.95,152.5,1,0.3
2021-01-23,West,Office Supplies,1641.01,-221.1,1,0.0
2021-01-24,Central,Furniture,1364.1,148.06,1,0.1
2021-01-24,Central,Technology,2003.91,286.72,2,0.25
2021-01-24,South,Furniture,1300.29,253.24,1,0.5
2021-01-24,South,Technology,1454.49,-56.27,1,0.0
2021-01-24,West,Technology,16.06,6.04,1,0.2
2021-01-25,Central,Furniture,1078.36,50.63,1,0.3
2021-01-25,Central,Office Supplies,1342.79,269.11,1,0.1
2021-01-25,East,Furniture,2527.08,237.39,3,0.0667
2021-01-25,South,Furniture,1027.46,-173.21,1,0.1
2021-01-25,South,Office Supplies,2991.62,245.08,2,0.15
2021-01-25,West,Office Supplies,3172.15,569.11,4,0.125
2021-01-26,Central,Furniture,66.64,2.42,1,0.1
2021-01-26,Central,Technology,2569.4,374.38,2,0.3
2021-01-26,East,Furniture,1599.07,-233.97,1,0.5
2021-01-26,East,Technology,4020.44,823.99,3,0.1667
2021-01-26,South,Furniture,548.31,49.58,1,0.5
2021-01-26,South,Technology,177.37,34.4,1,0.0
2021-01-26,West,Furniture,1630.32,-124.85,1,0.3
2021-01-26,West,Office Supplies,2694.33,65.35,2,0.35
2021-01-27,Central,Office Supplies,1525.09,79.15,1,0.3
2021-01-27,Central,Technology,60.9,23.12,1,0.0
2021-01-27,East,Technology,868.45,297.07,1,0.4
2021-01-27,South,Office Supplies,1392.12,-104.17,1,0.5
2021-01-27,West,Office Supplies,1273.07,355.89,1,0.5
2021-01-28,East,Furniture,831.61,-57.8,1,0.4
2021-01-28,South,Office Supplies,1536.07,-290.58,2,0.35
2021-01-28,South,Technology,191.83,62.14,1,0.0
2021-01-28,West,Office Supplies,575.27,-6.19,1,0.1
2021-01-29,Central,Furniture,3214.66,81.62,2,0.0
2021-01-29,Central,Office Supplies,1737.67,-114.42,1,0.2
2021-01-29,Central,Technology,1179.03,-178.29,1,0.3
2021-01-29,East,Office Supplies,1430.2,238.24,2,0.0
2021-01-29,East,Technology,3334.68,598.49,2,0.05
2021-01-29,South,Furniture,23.21,-3.01,1,0.1
2021-01-29,West,Furniture,794.21,-107.02,1,0.0
2021-01-29,West,Office Supplies,2641.29,493.3,2,0.2
2021-01-29,West,Technology,1360.26,317.68,1,0.0
2021-01-30,Central,Office Supplies,743.84,15.3,1,0.0
2021-01-30,Central,Technology,1692.6,-196.15,1,0.0
2021-01-30,South,Furniture,1647.85,360.74,1,0.2
2021-01-30,South,Technology,832.24,-54.51,1,0.3
2021-01-30,West,Furniture,1670.54,119.02,1,0.0
2021-01-31,Central,Furniture,425.11,-34.03,1,0.2
2021-01-31,Central,Technology,562.33,-91.74,1,0.5
2021-01-31,South,Technology,426.44,94.51,2,0.2
2021-01-31,West,Furniture,1316.73,-179.37,1,0.2
2021-01-31,West,Office Supplies,717.71,-80.85,1,0.2
2021-01-31,West,Technology,28.99,4.58,1,0.4
2021-02-01,Central,Technology,1375.62,256.13,1,0.1
2021-02-01,East,Office Supplies,2758.29,422.18,3,0.0333
2021-02-01,East,Technology,578.58,126.0,1,0.0
2021-02-01,West,Office Supplies,1589.16,-14.09,1,0.5
2021-02-01,West,Technology,2163.51,171.87,2,0.2
2021-02-02,Central,Furniture,1954.99,253.85,1,0.0
2021-02-02,East,Furniture,1891.16,-309.77,1,0.3
2021-02-02,South,Furniture,1598.19,137.72,1,0.1
2021-02-02,South,Office Supplies,1498.68,-1.9,1,0.5
2021-02-02,West,Furniture,501.84,174.13,1,0.0
2021-02-02,West,Office Supplies,4625.17,358.68,4,0.0
2021-02-03,Central,Office Supplies,1977.16,616.47,1,0.4
2021-02-03,Central,Technology,1276.26,-129.5,1,0.0
2021-02-03,South,Furniture,1248.73,157.79,1,0.2
2021-02-03,West,Furniture,1112.68,-153.69,1,0.0
2021-02-03,West,Office Supplies,1644.19,-239.92,1,0.3
2021-02-03,West,Technology,2389.89,-124.86,3,0.1333
2021-02-04,East,Furniture,3631.46,688.52,2,0.05
2021-02-04,East,Office Supplies,1022.76,333.27,1,0.0
2021-02-04,East,Technology,1409.57,-143.16,1,0.2
2021-02-04,South,Furniture,653.06,-44.56,1,0.0
2021-02-04,South,Office Supplies,1748.79,471.92,1,0.1
2021-02-05,East,Furniture,1546.83,482.35,1,0.1
2021-02-05,East,Technology,1623.82,518.94,1,0.4
2021-02-05,West,Furniture,633.29,-43.3,1,0.2
2021-02-05,West,Office Supplies,1301.85,-156.55,1,0.5
2021-02-05,West,Technology,719.37,-100.12,1,0.3
2021-02-06,Central,Furniture,317.62,109.87,1,0.0
2021-02-06,Central,Office Supplies,1134.74,347.84,1,0.1
2021-02-06,East,Office Supplies,295.47,39.82,1,0.5
2021-02-06,East,Technology,1478.09,561.94,1,0.0
2021-02-06,South,Furniture,959.03,336.12,2,0.15
2021-02-06,South,Office Supplies,280.54,-49.85,1,0.0
2021-02-06,South,Technology,1013.32,-193.59,1,0.1
2021-02-07,Central,Furniture,180.25,-8.36,1,0.2
2021-02-07,Central,Office Supplies,1207.25,318.23,1,0.2
2021-02-07,East,Office Supplies,89.52,26.61,1,0.1
2021-02-07,East,Technology,988.72,97.94,2,0.3
2021-02-07,South,Office Supplies,2036.8,430.16,2,0.2
2021-02-07,South,Technology,1655.11,207.25,1,0.2
2021-02-07,West,Furniture,504.8,-46.98,1,0.0
2021-02-07,West,Technology,949.42,56.9,1,0.0
2021-02-08,Central,Furniture,1283.85,-16.1,1,0.0
2021-02-08,East,Furniture,846.43,222.42,1,0.3
2021-02-08,East,Technology,2194.33,585.12,4,0.075
2021-02-08,South,Technology,521.81,70.73,1,0.1
2021-02-08,West,Furniture,1200.93,-122.97,1,0.4
2021-02-08,West,Office Supplies,766.73,84.49,2,0.0
2021-02-08,West,Technology,538.97,157.3,1,0.4
2021-02-09,Central,Furniture,1777.33,-89.03,1,0.5
2021-02-09,Central,Office Supplies,247.82,-43.78,1,0.4
2021-02-09,East,Furniture,523.71,66.25,1,0.2
2021-02-09,West,Furniture,1125.01,-67.27,1,0.0
2021-02-09,West,Office Supplies,1146.67,-178.64,1,0.0
2021-02-09,West,Technology,2025.18,664.31,2,0.2
2021-02-10,Central,Furniture,604.48,52.7,1,0.5
2021-02-10,Central,Office Supplies,1865.93,-290.17,1,0.0
2021-02-10,East,Furniture,3910.34,875.55,3,0.2333
2021-02-10,South,Furniture,3333.44,-340.44,2,0.05
2021-02-10,South,Technology,1491.38,406.19,1,0.1
2021-02-10,West,Furniture,4326.74,727.23,4,0.2
2021-02-11,Central,Office Supplies,177.87,32.29,1,0.0
2021-02-11,Central,Technology,133.77,14.42,1,0.4
2021-02-11,East,Furniture,162.98,46.37,1,0.3
2021-02-11,East,Office Supplies,1998.24,-376.52,1,0.1
2021-02-11,South,Office Supplies,821.94,230.08,1,0.4
2021-02-11,West,Technology,1666.79,521.18,1,0.3
2021-02-12,Central,Technology,3322.8,757.28,3,0.1
2021-02-12,East,Office Supplies,1654.86,-84.39,1,0.0
2021-02-12,South,Furniture,383.54,-17.84,1,0.5
2021-02-12,South,Office Supplies,979.84,232.28,1,0.1
2021-02-12,South,Technology,3300.9,909.75,2,0.05
2021-02-12,West,Office Supplies,509.74,-49.32,1,0.2
2021-02-12,West,Technology,3000.24,140.73,3,0.1
2021-02-13,Central,Furniture,1841.14,573.63,1,0.3
2021-02-13,East,Office Supplies,1857.31,402.3,2,0.15
2021-02-13,South,Furniture,396.77,114.16,1,0.0
2021-02-13,South,Office Supplies,1974.0,433.78,3,0.2333
2021-02-13,West,Furniture,1542.85,324.11,1,0.1
2021-02-14,Central,Furniture,887.29,187.12,1,0.2
2021-02-14,Central,Office Supplies,184.39,41.23,1,0.2
2021-02-14,Central,Technology,1502.2,-23.47,2,0.25
2021-02-14,East,Furniture,1594.65,-288.96,1,0.3
2021-02-14,East,Office Supplies,766.51,-113.51,1,0.0
2021-02-14,East,Technology,679.92,165.67,1,0.1
2021-02-14,South,Furniture,395.83,97.6,1,0.0
2021-02-14,South,Technology,1297.58,297.75,1,0.5
2021-02-14,West,Furniture,1251.68,-17.91,1,0.3
2021-02-14,West,Office Supplies,2119.57,129.06,2,0.35
2021-02-14,West,Technology,1509.81,180.61,1,0.0
2021-02-15,Central,Office Supplies,1991.94,-192.85,1,0.0
2021-02-15,East,Technology,2902.91,420.53,2,0.35
2021-02-15,South,Office Supplies,1862.9,-111.84,1,0.0
2021-02-16,Central,Furniture,1146.68,18.71,1,0.4
2021-02-16,Central,Technology,2305.23,642.31,2,0.3
2021-02-16,East,Furniture,3757.19,909.85,2,0.05
2021-02-16,East,Office Supplies,1081.44,416.9,1,0.0
2021-02-16,East,Technology,1971.21,54.62,2,0.4
2021-02-16,South,Furniture,596.9,-28.63,1,0.5
2021-02-16,South,Technology,2624.04,727.79,2,0.15
2021-02-16,West,Office Supplies,697.29,28.98,1,0.2
2021-02-17,Central,Furniture,2358.8,99.85,2,0.25
2021-02-17,Central,Technology,1215.76,-29.1,2,0.25
2021-02-17,East,Furniture,603.45,-16.26,1,0.0
2021-02-17,East,Office Supplies,1703.87,388.46,1,0.3
2021-02-17,East,Technology,331.4,-13.55,1,0.0
2021-02-17,South,Furniture,1258.39,-179.41,1,0.0
2021-02-17,South,Office Supplies,1853.12,354.97,4,0.225
2021-02-17,South,Technology,467.71,-66.5,1,0.3
2021-02-17,West,Office Supplies,226.02,57.75,1,0.3
2021-02-17,West,Technology,692.53,137.49,1,0.2
2021-02-18,Central,Furniture,2843.65,458.38,3,0.3667
2021-02-18,Central,Technology,653.26,233.74,1,0.0
2021-02-18,East,Furniture,155.83,3.75,1,0.4
2021-02-18,East,Office Supplies,1919.46,60.36,2,0.2
2021-02-18,East,Technology,1572.94,301.89,3,0.3333
2021-02-18,South,Furniture,953.27,293.03,2,0.3
2021-02-18,South,Office Supplies,424.53,-44.16,1,0.5
2021-02-18,West,Furniture,356.11,87.24,1,0.0
2021-02-18,West,Technology,85.71,5.48,1,0.5
2021-02-19,Central,Office Supplies,779.85,181.46,2,0.05
2021-02-19,Central,Technology,600.56,-85.37,1,0.1
2021-02-19,East,Technology,2118.87,-268.87,2,0.3
2021-02-19,South,Furniture,1559.83,-162.35,1,0.2
2021-02-19,South,Office Supplies,1489.54,405.22,2,0.25
2021-02-20,Central,Office Supplies,826.84,94.73,1,0.4
2021-02-20,East,Office Supplies,1107.01,354.44,1,0.1
2021-02-20,East,Technology,1372.21,112.18,1,0.2
2021-02-20,South,Furniture,4311.77,622.91,3,0.0667
2021-02-20,West,Furniture,509.0,143.62,1,0.0
2021-02-20,West,Office Supplies,355.83,104.67,2,0.3
2021-02-20,West,Technology,575.24,36.61,1,0.2
2021-02-21,Central,Office Supplies,2880.63,-550.84,2,0.05
2021-02-21,Central,Technology,1170.0,339.57,1,0.4
2021-02-21,East,Office Supplies,1263.06,253.94,1,0.3
2021-02-21,South,Furniture,1379.43,193.26,1,0.5
2021-02-21,West,Office Supplies,1004.69,296.0,1,0.0
2021-02-21,West,Technology,557.31,134.8,1,0.0
2021-02-22,Central,Technology,1138.19,-160.16,1,0.3
2021-02-22,East,Furniture,533.04,54.05,1,0.0
2021-02-22,East,Office Supplies,1143.15,-135.35,1,0.1
2021-02-22,East,Technology,2500.09,-148.56,2,0.2
2021-02-22,South,Furniture,2482.54,643.79,2,0.2
2021-02-22,South,Office Supplies,1061.29,192.27,1,0.1
2021-02-23,Central,Furniture,1092.85,225.62,1,0.1
2021-02-23,Central,Office Supplies,1164.27,69.26,2,0.15
2021-02-23,East,Furniture,1495.15,151.22,2,0.05
2021-02-23,East,Office Supplies,4455.68,650.36,3,0.2333
2021-02-23,South,Furniture,216.11,13.44,1,0.3
2021-02-23,South,Technology,21.02,-3.63,1,0.1
2021-02-23,West,Office Supplies,1957.88,460.82,1,0.0
2021-02-23,West,Technology,446.26,92.22,1,0.0
2021-02-24,Central,Office Supplies,1558.64,418.6,1,0.0
2021-02-24,Central,Technology,778.54,104.69,1,0.4
2021-02-24,East,Technology,1756.99,119.4,1,0.0
2021-02-24,South,Furniture,36.54,-0.71,1,0.3
2021-02-24,South,Office Supplies,1242.93,42.83,1,0.0
2021-02-24,West,Furniture,1851.23,238.89,2,0.05
2021-02-24,West,Technology,164.46,-23.97,1,0.4
2021-02-25,Central,Office Supplies,1330.03,-252.13,1,0.3
2021-02-25,Central,Technology,273.84,83.55,1,0.0
2021-02-25,East,Furniture,2962.64,95.23,2,0.15
2021-02-25,East,Office Supplies,1445.6,288.78,1,0.3
2021-02-25,South,Office Supplies,508.0,62.58,1,0.4
2021-02-26,Central,Office Supplies,1199.5,469.87,1,0.0
2021-02-26,Central,Technology,1454.31,464.57,1,0.4
2021-02-26,East,Furniture,4699.76,788.08,4,0.325
2021-02-26,East,Technology,909.28,-17.11,1,0.3
2021-02-26,South,Furniture,1383.62,533.48,1,0.5
2021-02-26,West,Office Supplies,531.61,2.22,1,0.1
2021-02-26,West,Technology,1418.08,-262.1,1,0.4
2021-02-27,Central,Technology,2810.17,212.82,2,0.4
2021-02-27,East,Technology,3634.73,3.82,3,0.0
2021-02-27,South,Furniture,944.06,238.36,1,0.0
2021-02-27,South,Technology,1469.2,233.19,2,0.0
2021-02-27,West,Furniture,1087.15,44.51,1,0.1
2021-02-27,West,Office Supplies,1560.02,-105.62,2,0.1
2021-02-28,Central,Office Supplies,1029.29,381.76,1,0.1
2021-02-28,Central,Technology,1553.07,-197.28,1,0.3
2021-02-28,South,Furniture,1917.82,-115.5,2,0.0
2021-02-28,West,Furniture,366.88,-59.28,1,0.0
2021-02-28,West,Office Supplies,765.71,130.36,1,0.3
2021-03-01,Central,Furniture,1871.4,533.52,1,0.5
2021-03-01,Central,Technology,3441.78,531.88,2,0.45
2021-03-01,East,Office Supplies,4166.57,-31.68,3,0.2333
2021-03-01,East,Technology,196.4,68.46,1,0.5
2021-03-01,South,Office Supplies,3749.72,93.54,3,0.1
2021-03-01,South,Technology,1987.58,29.38,1,0.4
2021-03-01,West,Office Supplies,1321.88,-74.7,1,0.0
2021-03-02,Central,Furniture,1763.96,294.52,2,0.25
2021-03-02,Central,Office Supplies,1404.81,93.57,2,0.3
2021-03-02,Central,Technology,1388.79,179.16,1,0.0
2021-03-02,East,Furniture,1695.24,328.49,1,0.0
2021-03-02,South,Furniture,1435.11,62.9,1,0.0
2021-03-02,South,Office Supplies,689.83,-103.46,1,0.5
2021-03-02,West,Office Supplies,1369.59,-97.47,1,0.3
2021-03-02,West,Technology,1385.17,429.07,1,0.5
2021-03-03,Central,Office Supplies,860.36,-153.58,1,0.5
2021-03-03,Central,Technology,2024.54,-43.95,2,0.2
2021-03-03,East,Furniture,1668.23,530.38,1,0.5
2021-03-03,East,Office Supplies,2785.36,-44.87,2,0.1
2021-03-03,South,Furniture,861.55,257.36,1,0.3
2021-03-03,South,Office Supplies,1584.65,-280.06,1,0.2
2021-03-04,Central,Furniture,1563.13,563.48,1,0.0
2021-03-04,Central,Technology,1578.88,14.8,1,0.0
2021-03-04,East,Furniture,1798.78,115.12,2,0.1
2021-03-04,East,Office Supplies,1851.97,636.03,1,0.0
2021-03-04,East,Technology,1609.13,382.97,1,0.0
2021-03-04,South,Furniture,2864.64,537.07,2,0.1
2021-03-04,South,Office Supplies,2427.82,600.44,2,0.25
2021-03-04,South,Technology,2037.5,398.39,2,0.1
2021-03-04,West,Furniture,886.22,241.6,1,0.2
2021-03-04,West,Office Supplies,1143.78,358.54,1,0.2
2021-03-04,West,Technology,1268.68,-5.43,1,0.0
2021-03-05,Central,Furniture,74.76,-12.59,1,0.3
2021-03-05,Central,Office Supplies,153.9,12.35,1,0.0
2021-03-05,Central,Technology,1793.86,-240.41,1,0.2
2021-03-05,East,Furniture,382.25,140.32,1,0.4
2021-03-05,East,Technology,2611.12,477.25,2,0.15
2021-03-05,South,Furniture,1955.77,-136.64,1,0.2
2021-03-05,South,Technology,759.2,82.57,2,0.4
2021-03-05,West,Furniture,2235.5,417.37,2,0.05
2021-03-05,West,Technology,1870.12,-221.83,2,0.35
2021-03-06,Central,Furniture,841.58,106.28,1,0.0
2021-03-06,Central,Office Supplies,816.5,-135.81,1,0.5
2021-03-06,East,Furniture,2076.12,404.11,2,0.3
2021-03-06,South,Furniture,1707.6,-150.38,1,0.4
2021-03-06,South,Office Supplies,2745.02,574.86,2,0.1
2021-03-06,South,Technology,644.34,-44.8,1,0.0
2021-03-06,West,Furniture,2377.1,189.56,2,0.4
2021-03-06,West,Office Supplies,541.34,32.9,1,0.2
2021-03-07,Central,Furniture,2104.98,306.78,2,0.2
2021-03-07,East,Furniture,7154.48,816.64,5,0.06
2021-03-07,East,Office Supplies,284.33,-13.01,1,0.0
2021-03-07,South,Furniture,637.75,-46.82,1,0.0
2021-03-07,South,Office Supplies,1401.85,386.28,2,0.05
2021-03-07,South,Technology,588.4,118.58,1,0.4
2021-03-07,West,Technology,891.25,-105.15,1,0.0
2021-03-08,Central,Technology,844.8,215.7,1,0.2
2021-03-08,East,Furniture,611.83,132.14,1,0.3
2021-03-08,East,Office Supplies,490.79,126.19,1,0.0
2021-03-08,East,Technology,706.7,71.6,1,0.0
2021-03-08,South,Furniture,1647.4,73.2,2,0.3
2021-03-08,West,Furniture,3126.82,-21.94,2,0.2
2021-03-08,West,Technology,1764.81,25.74,1,0.5
2021-03-09,Central,Furniture,3365.42,385.52,2,0.2
2021-03-09,Central,Office Supplies,831.06,-139.76,1,0.1
2021-03-09,Central,Technology,1221.67,282.83,1,0.3
2021-03-09,East,Furniture,977.43,196.08,1,0.5
2021-03-09,East,Technology,516.49,100.24,1,0.1
2021-03-09,South,Furniture,3262.92,-122.51,2,0.15
2021-03-09,South,Office Supplies,98.79,24.43,1,0.2
2021-03-09,South,Technology,1772.86,117.12,2,0.5
2021-03-09,West,Furniture,1743.58,674.18,1,0.0
2021-03-10,Central,Furniture,820.22,317.63,1,0.0
2021-03-10,Central,Technology,788.77,65.99,1,0.0
2021-03-10,East,Office Supplies,1665.06,649.75,1,0.4
2021-03-10,East,Technology,1778.45,218.15,1,0.0
2021-03-10,South,Furniture,289.72,76.67,1,0.3
2021-03-10,South,Office Supplies,2653.68,633.16,2,0.15
2021-03-10,South,Technology,1484.06,467.95,1,0.0
2021-03-10,West,Furniture,1212.95,114.91,2,0.3
2021-03-10,West,Technology,691.6,101.67,1,0.3
2021-03-11,East,Furniture,2123.18,482.23,2,0.35
2021-03-11,East,Office Supplies,29.46,11.35,1,0.4
2021-03-11,South,Technology,1893.05,-237.73,1,0.0
2021-03-11,West,Furniture,514.73,156.29,2,0.2
2021-03-12,Central,Office Supplies,1769.52,-195.52,1,0.3
2021-03-12,Central,Technology,1345.8,130.42,1,0.0
2021-03-12,South,Furniture,2908.4,898.05,3,0.3
2021-03-12,West,Furniture,835.82,-68.56,1,0.1
2021-03-13,Central,Furniture,1445.56,425.17,2,0.0
